date,windspeed_avg,rainfall_avg,temperature_avg
2011-01-02,2.79,0.05,2.23
2011-01-03,2.58,0.0,1.44
2011-01-04,4.05,0.0,0.26
2011-01-05,6.17,0.0,0.88
2011-01-06,5.91,0.88,6.79
2011-01-07,4.36,0.6,8.26
2011-01-08,7.26,0.72,9.66
2011-01-09,3.15,0.0,4.47
2011-01-10,3.48,0.0,0.84
2011-01-11,6.91,0.35,4.6
2011-01-12,5.88,0.9,7.28
2011-01-13,8.76,0.95,12.04
2011-01-14,7.89,0.4,10.88
2011-01-15,6.95,0.0,9.11
2011-01-16,6.61,0.0,9.28
2011-01-17,4.16,0.05,7.42
2011-01-18,4.63,0.07,6.22
2011-01-19,3.15,0.18,3.3
2011-01-20,4.31,0.03,2.93
2011-01-21,2.34,0.0,1.19
2011-01-22,4.25,0.02,4.28
2011-01-23,4.16,0.08,4.84
2011-01-24,4.55,0.15,5.52
2011-01-25,4.7,0.13,4.55
2011-01-26,2.82,0.05,4.69
2011-01-27,5.34,0.0,0.74
2011-01-28,5.85,0.0,-1.05
2011-01-29,3.99,0.0,-1.54
2011-01-30,4.35,0.0,-2.52
2011-01-31,2.31,0.0,-2.46
2011-02-01,3.46,0.02,-1.49
2011-02-02,4.5,0.02,2.58
2011-02-03,4.83,0.0,5.86
2011-02-04,10.21,0.0,8.46
2011-02-05,10.97,0.0,10.76
2011-02-06,8.11,0.0,10.04
2011-02-07,5.98,0.0,8.09
2011-02-08,1.9,0.0,6.14
2011-02-09,3.74,0.0,4.2
2011-02-10,5.08,0.23,7.69
2011-02-11,5.2,0.47,11.74
2011-02-12,4.44,0.15,8.76
2011-02-13,4.58,0.03,5.16
2011-02-14,3.09,0.15,6.84
2011-02-15,4.88,0.6,4.79
2011-02-16,3.35,0.03,4.25
2011-02-17,3.27,0.0,5.66
2011-02-18,2.21,0.0,1.82
2011-02-19,4.36,0.6,3.64
2011-02-20,3.66,0.02,4.26
2011-02-21,3.23,0.0,3.56
2011-02-22,2.05,0.0,1.29
2011-02-23,4.9,0.65,0.91
2011-02-24,3.35,0.47,7.64
2011-02-25,3.23,0.03,9.01
2011-02-26,5.66,1.25,8.22
2011-02-27,5.79,0.25,5.9
2011-02-28,3.27,0.25,3.81
2011-03-01,6.04,0.0,4.4
2011-03-02,7.39,0.0,4.31
2011-03-03,6.16,0.0,2.55
2011-03-04,4.36,0.0,2.84
2011-03-05,4.36,0.0,2.04
2011-03-06,4.95,0.0,3.56
2011-03-07,4.31,0.0,3.24
2011-03-08,3.67,0.0,5.19
2011-03-09,5.77,0.0,6.9
2011-03-10,8.16,0.0,7.66
2011-03-11,4.76,0.0,8.64
2011-03-12,3.86,0.05,8.55
2011-03-13,4.31,0.0,9.82
2011-03-14,1.86,0.0,9.78
2011-03-15,3.84,0.02,11.67
2011-03-16,5.34,0.0,10.26
2011-03-17,4.75,0.0,5.74
2011-03-18,3.48,0.63,6.97
2011-03-19,4.7,0.0,6.81
2011-03-20,0.75,0.0,5.39
2011-03-21,1.09,0.0,7.1
2011-03-22,3.19,0.0,9.2
2011-03-23,3.71,0.0,10.77
2011-03-24,3.73,0.0,12.01
2011-03-25,1.86,0.0,11.44
2011-03-26,3.26,0.13,9.03
2011-03-27,3.48,0.0,9.71
2011-03-28,3.02,0.0,8.55
2011-03-29,1.55,0.0,9.63
2011-03-30,4.37,0.13,10.91
2011-03-31,7.45,0.5,12.29
2011-04-01,5.99,0.02,13.85
2011-04-02,5.33,0.03,14.86
2011-04-03,2.7,0.15,11.35
2011-04-04,5.03,0.0,10.11
2011-04-05,4.69,0.13,9.89
2011-04-06,3.48,0.0,16.35
2011-04-07,3.4,0.0,15.31
2011-04-08,2.89,0.0,13.6
2011-04-09,3.89,0.0,11.83
2011-04-10,3.29,0.0,14.44
2011-04-11,4.42,0.02,13.53
2011-04-12,5.79,0.11,9.21
2011-04-13,3.16,0.0,8.57
2011-04-14,1.8,0.0,10.09
2011-04-15,2.26,0.0,11.9
2011-04-16,1.41,0.0,11.09
2011-04-17,2.82,0.0,12.33
2011-04-18,3.29,0.0,14.6
2011-04-19,2.49,0.0,17.25
2011-04-20,1.26,0.0,17.84
2011-04-21,2.25,0.0,17.42
2011-04-22,2.81,0.0,19.15
2011-04-23,2.13,0.0,18.94
2011-04-24,2.89,0.0,18.39
2011-04-25,4.25,0.0,15.81
2011-04-26,4.64,0.0,13.6
2011-04-27,6.63,0.0,11.83
2011-04-28,3.72,1.33,10.64
2011-04-29,3.09,0.15,13.87
2011-04-30,5.26,0.25,16.38
2011-05-01,6.05,0.0,16.04
2011-05-02,6.83,0.0,13.16
2011-05-03,6.05,0.0,10.51
2011-05-04,3.6,0.0,10.76
2011-05-05,2.34,0.0,13.26
2011-05-06,2.51,0.0,16.29
2011-05-07,4.75,0.0,19.31
2011-05-08,4.36,0.0,19.32
2011-05-09,2.58,0.0,17.34
2011-05-10,3.35,0.42,16.65
2011-05-11,2.76,0.0,14.54
2011-05-12,4.51,0.0,13.13
2011-05-13,1.99,0.0,13.51
2011-05-14,4.52,0.0,12.47
2011-05-15,5.09,0.0,12.0
2011-05-16,5.4,0.0,12.64
2011-05-17,4.95,0.0,13.89
2011-05-18,3.99,0.0,14.95
2011-05-19,2.38,0.05,13.89
2011-05-20,3.35,0.0,14.5
2011-05-21,2.05,0.0,15.3
2011-05-22,6.36,0.13,15.46
2011-05-23,5.03,0.0,15.98
2011-05-24,5.86,0.0,14.06
2011-05-25,2.42,0.0,15.1
2011-05-26,7.73,0.0,13.94
2011-05-27,4.13,1.18,11.88
2011-05-28,5.39,0.02,12.34
2011-05-29,5.85,0.0,16.35
2011-05-30,3.46,0.02,17.29
2011-05-31,5.85,0.13,13.88
2011-06-01,3.15,0.0,14.05
2011-06-02,5.97,0.0,17.14
2011-06-03,6.56,0.0,20.63
2011-06-04,5.52,0.0,23.51
2011-06-05,3.27,0.4,19.25
2011-06-06,2.89,0.15,15.56
2011-06-07,2.65,0.65,13.59
2011-06-08,4.76,0.0,13.82
2011-06-09,4.26,0.0,14.05
2011-06-10,2.38,0.5,12.9
2011-06-11,3.09,0.15,11.9
2011-06-12,3.93,0.0,13.8
2011-06-13,5.5,0.08,16.61
2011-06-14,2.08,0.0,17.96
2011-06-15,3.73,0.0,18.88
2011-06-16,5.82,3.24,16.6
2011-06-17,5.04,0.05,15.52
2011-06-18,8.34,0.2,14.29
2011-06-19,7.51,0.53,14.61
2011-06-20,3.88,0.35,14.34
2011-06-21,4.81,0.05,17.79
2011-06-22,5.26,0.08,16.14
2011-06-23,6.78,0.05,15.19
2011-06-24,5.03,0.0,15.15
2011-06-25,5.13,0.4,14.64
2011-06-26,2.76,0.0,19.92
2011-06-27,2.92,0.03,26.57
2011-06-28,3.34,0.05,25.45
2011-06-29,5.54,0.05,17.9
2011-06-30,2.81,0.08,15.11
2011-07-01,4.19,0.0,15.6
2011-07-02,3.34,0.03,15.16
2011-07-03,3.4,0.0,16.32
2011-07-04,3.6,0.0,17.48
2011-07-05,2.39,0.0,21.23
2011-07-06,4.29,0.43,17.46
2011-07-07,4.89,0.13,17.1
2011-07-08,4.94,0.62,16.26
2011-07-09,4.56,0.8,17.13
2011-07-10,1.2,0.13,16.14
2011-07-11,2.4,0.0,19.19
2011-07-12,5.65,0.53,18.21
2011-07-13,6.05,0.1,14.59
2011-07-14,5.2,0.23,13.61
2011-07-15,2.91,0.0,18.16
2011-07-16,4.16,2.57,15.9
2011-07-17,6.25,0.13,15.25
2011-07-18,6.88,0.45,14.45
2011-07-19,1.34,0.38,15.06
2011-07-20,2.3,0.53,15.03
2011-07-21,3.6,0.0,16.82
2011-07-22,4.65,0.03,15.92
2011-07-23,2.96,1.02,13.11
2011-07-24,4.95,0.0,16.05
2011-07-25,2.63,0.0,16.29
2011-07-26,3.13,0.0,15.57
2011-07-27,3.02,0.93,15.07
2011-07-28,3.74,0.03,16.55
2011-07-29,5.29,0.0,17.08
2011-07-30,3.4,0.0,14.61
2011-07-31,1.54,0.0,15.75
2011-08-01,2.18,0.0,18.29
2011-08-02,2.05,0.0,21.13
2011-08-03,2.06,0.15,20.82
2011-08-04,4.3,0.73,18.82
2011-08-05,2.13,0.0,18.25
2011-08-06,2.64,2.0,16.8
2011-08-07,4.83,0.05,16.14
2011-08-08,7.03,0.8,15.86
2011-08-09,5.65,0.02,15.92
2011-08-10,4.75,0.0,16.35
2011-08-11,5.91,0.13,17.9
2011-08-12,4.64,0.07,18.44
2011-08-13,3.54,1.35,17.84
2011-08-14,3.55,2.4,16.88
2011-08-15,2.44,0.0,16.6
2011-08-16,3.09,0.03,18.19
2011-08-17,2.31,0.02,18.16
2011-08-18,3.66,0.0,18.21
2011-08-19,2.56,0.0,17.75
2011-08-20,1.8,0.02,19.07
2011-08-21,4.59,0.02,21.94
2011-08-22,2.38,0.7,17.05
2011-08-23,4.01,3.67,19.55
2011-08-24,3.02,0.6,17.23
2011-08-25,2.51,0.02,17.49
2011-08-26,4.76,1.63,17.16
2011-08-27,5.34,0.02,15.35
2011-08-28,4.89,0.4,14.49
2011-08-29,4.38,0.0,14.29
2011-08-30,2.19,0.0,13.93
2011-08-31,1.8,0.0,13.78
2011-09-01,4.17,0.0,16.39
2011-09-02,2.75,0.0,20.43
2011-09-03,2.64,3.25,22.01
2011-09-04,3.27,1.25,17.68
2011-09-05,6.22,0.3,15.42
2011-09-06,8.36,0.15,15.61
2011-09-07,7.0,0.3,15.26
2011-09-08,4.95,0.17,14.88
2011-09-09,3.1,0.17,18.47
2011-09-10,4.01,0.03,21.11
2011-09-11,4.69,0.07,16.56
2011-09-12,8.73,0.0,17.69
2011-09-13,7.45,0.0,16.14
2011-09-14,3.99,0.0,14.24
2011-09-15,1.6,0.02,13.88
2011-09-16,3.61,0.02,15.26
2011-09-17,4.64,1.2,14.53
2011-09-18,3.99,0.13,12.3
2011-09-19,3.88,0.03,13.21
2011-09-20,4.38,0.0,15.66
2011-09-21,4.44,0.03,15.63
2011-09-22,4.89,0.0,14.72
2011-09-23,1.6,0.02,13.38
2011-09-24,0.87,0.05,14.51
2011-09-25,2.1,0.0,17.16
2011-09-26,2.81,0.03,18.04
2011-09-27,0.9,0.0,17.41
2011-09-28,2.45,0.05,18.9
2011-09-29,2.25,0.03,19.48
2011-09-30,1.54,0.0,18.66
2011-10-01,1.2,0.05,19.38
2011-10-02,0.38,0.02,18.49
2011-10-03,2.11,0.0,18.81
2011-10-04,5.61,0.0,17.34
2011-10-05,5.71,0.15,16.72
2011-10-06,7.85,0.63,14.19
2011-10-07,6.69,0.07,11.59
2011-10-08,5.34,0.18,10.81
2011-10-09,4.95,1.28,13.47
2011-10-10,10.23,0.0,16.65
2011-10-11,7.9,0.03,15.91
2011-10-12,4.55,0.0,15.45
2011-10-13,3.34,0.35,13.46
2011-10-14,3.6,0.0,10.06
2011-10-15,2.2,0.0,8.43
2011-10-16,1.86,0.0,8.85
2011-10-17,3.85,0.0,11.88
2011-10-18,5.8,0.53,10.78
2011-10-19,3.49,0.07,8.34
2011-10-20,3.35,0.0,6.55
2011-10-21,2.32,0.0,6.21
2011-10-22,3.97,0.0,3.96
2011-10-23,4.44,0.02,8.82
2011-10-24,5.19,0.0,10.1
2011-10-25,3.67,1.3,11.82
2011-10-26,5.35,0.03,10.86
2011-10-27,3.66,0.02,11.93
2011-10-28,0.89,0.0,13.84
2011-10-29,2.5,0.0,14.4
2011-10-30,3.09,0.03,12.89
2011-10-31,3.24,0.0,13.28
2011-11-01,3.15,0.42,11.84
2011-11-02,4.11,0.02,11.49
2011-11-03,4.95,0.2,15.2
2011-11-04,6.1,0.03,14.5
2011-11-05,2.25,0.82,14.41
2011-11-06,6.04,0.0,12.95
2011-11-07,5.38,0.0,10.3
2011-11-08,2.79,0.0,9.64
2011-11-09,3.16,0.0,11.28
2011-11-10,2.02,0.05,9.07
2011-11-11,4.49,0.0,7.01
2011-11-12,2.9,0.0,8.85
2011-11-13,2.85,0.02,7.71
2011-11-14,2.26,0.0,6.01
2011-11-15,2.25,0.0,1.21
2011-11-16,3.07,0.0,1.4
2011-11-17,3.35,0.0,6.1
2011-11-18,3.23,0.02,8.1
2011-11-19,2.0,0.05,6.46
2011-11-20,0.81,0.0,5.02
2011-11-21,0.89,0.03,4.36
2011-11-22,0.95,0.03,8.19
2011-11-23,1.06,0.3,9.14
2011-11-24,2.55,0.02,5.95
2011-11-25,5.29,0.0,8.89
2011-11-26,4.22,0.0,7.05
2011-11-27,6.61,0.02,8.51
2011-11-28,2.75,0.0,3.99
2011-11-29,7.26,0.0,7.76
2011-11-30,4.22,0.0,6.76
2011-12-01,7.13,0.55,10.46
2011-12-02,4.89,0.4,7.65
2011-12-03,6.94,0.5,8.46
2011-12-04,4.86,0.23,8.91
2011-12-05,5.34,0.25,5.09
2011-12-06,4.63,0.1,4.5
2011-12-07,7.77,1.88,7.64
2011-12-08,7.0,0.02,6.89
2011-12-09,6.3,0.28,7.01
2011-12-10,2.25,0.0,2.55
2011-12-11,3.81,0.0,4.24
2011-12-12,6.49,0.53,6.99
2011-12-13,10.36,2.75,7.7
2011-12-14,6.05,2.83,5.08
2011-12-15,7.65,0.43,5.35
2011-12-16,8.69,2.67,5.3
2011-12-17,4.18,0.82,3.75
2011-12-18,4.19,1.2,2.5
2011-12-19,4.63,0.9,1.27
2011-12-20,5.71,0.16,5.64
2011-12-21,2.51,0.42,5.95
2011-12-22,4.32,0.03,10.03
2011-12-23,6.69,0.28,9.06
2011-12-24,6.29,0.13,5.8
2011-12-25,6.0,0.0,8.31
2011-12-26,4.49,0.0,9.69
2011-12-27,3.26,0.0,6.58
2011-12-28,6.63,0.02,5.11
2011-12-29,6.75,1.13,6.31
2011-12-30,5.34,0.4,5.61
2011-12-31,5.8,0.55,9.81
2012-01-01,8.04,0.0,12.4
